N. do Processo,Assunto,Classe,Comarca,Promotoria de Justiça,Homologado pelo CSMP,Data,PDF,Movimentação
08.2020.00152740-0,Improbidade Administrativa - Violação aos Princípios Administrativos,Ação Civil de Improbidade Administrativa,Campos Novos,3ª Promotoria de Justiça da Comarca de Campos Novos,-,12/7/2022,-,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2020.00152740-0
08.2020.00152863-2,Improbidade Administrativa - Violação aos Princípios Administrativos,Ação Civil de Improbidade Administrativa,Campos Novos,3ª Promotoria de Justiça da Comarca de Campos Novos,-,03/11/2021,-,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2020.00152863-2
08.2019.00169792-7,Enriquecimento ilícito,Ação Civil de Improbidade Administrativa,Capital,31ª Promotoria de Justiça da Comarca da Capital,-,15/12/2021,C:\Users\arthu\OneDrive\Documentos\UFSC - 7º Semestre\Tópicos Especiais em Gerência de Dados\Check if possible\PDFs/08.2019.00169792-7.pdf,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2019.00169792-7
08.2019.00178367-4,Enriquecimento ilícito,Ação Civil de Improbidade Administrativa,Capital,31ª Promotoria de Justiça da Comarca da Capital,-,08/6/2022,-,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2019.00178367-4
08.2014.00195425-3,Improbidade Administrativa,Ação Civil de Improbidade Administrativa,Chapecó,10ª Promotoria de Justiça da Comarca de Chapecó,-,26/7/2022,-,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2014.00195425-3
08.2020.00049122-1,Dano ao Erário,Ação Civil de Improbidade Administrativa,Chapecó,10ª Promotoria de Justiça da Comarca de Chapecó,-,08/10/2021,C:\Users\arthu\OneDrive\Documentos\UFSC - 7º Semestre\Tópicos Especiais em Gerência de Dados\Check if possible\PDFs/08.2020.00049122-1.pdf,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2020.00049122-1
08.2020.00071780-0,Enriquecimento ilícito,Ação Civil de Improbidade Administrativa,Ipumirim,Promotoria de Justiça da Comarca de Ipumirim,-,25/1/2022,C:\Users\arthu\OneDrive\Documentos\UFSC - 7º Semestre\Tópicos Especiais em Gerência de Dados\Check if possible\PDFs/08.2020.00071780-0.pdf,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2020.00071780-0
08.2014.00212851-0,Enriquecimento ilícito,Ação Civil de Improbidade Administrativa,Presidente Getúlio,Promotoria de Justiça da Comarca de Presidente Getúlio,-,03/8/2021,C:\Users\arthu\OneDrive\Documentos\UFSC - 7º Semestre\Tópicos Especiais em Gerência de Dados\Check if possible\PDFs/08.2014.00212851-0.pdf,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2014.00212851-0
08.2021.00321490-0,Improbidade Administrativa - Violação aos Princípios Administrativos,Ação Civil de Improbidade Administrativa,Trombudo Central,2ª Promotoria de Justiça da Comarca de Trombudo Central,-,30/9/2021,C:\Users\arthu\OneDrive\Documentos\UFSC - 7º Semestre\Tópicos Especiais em Gerência de Dados\Check if possible\PDFs/08.2021.00321490-0.pdf,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2021.00321490-0
08.2015.00084789-6,Improbidade Administrativa - Violação aos Princípios Administrativos,Ação Civil de Improbidade Administrativa,Urubici,Promotoria de Justiça da Comarca de Urubici,-,11/11/2021,C:\Users\arthu\OneDrive\Documentos\UFSC - 7º Semestre\Tópicos Especiais em Gerência de Dados\Check if possible\PDFs/08.2015.00084789-6.pdf,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2015.00084789-6
08.2021.00319644-0,-,Ação Civil Pública,Balneário Camboriú,5ª Promotoria de Justiça da Comarca de Balneário Camboriú,-,15/12/2022,C:\Users\arthu\OneDrive\Documentos\UFSC - 7º Semestre\Tópicos Especiais em Gerência de Dados\Check if possible\PDFs/08.2021.00319644-0.pdf,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2021.00319644-0
08.2021.00484922-1,-,Ação Civil Pública,Balneário Camboriú,5ª Promotoria de Justiça da Comarca de Balneário Camboriú,-,06/12/2021,C:\Users\arthu\OneDrive\Documentos\UFSC - 7º Semestre\Tópicos Especiais em Gerência de Dados\Check if possible\PDFs/08.2021.00484922-1.pdf,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2021.00484922-1
08.2021.00218900-9,Funcionamento de Estabelecimentos Empresariais,Ação Civil Pública,Balneário Camboriú,6ª Promotoria de Justiça da Comarca de Balneário Camboriú,-,29/3/2023,C:\Users\arthu\OneDrive\Documentos\UFSC - 7º Semestre\Tópicos Especiais em Gerência de Dados\Check if possible\PDFs/08.2021.00218900-9.pdf,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2021.00218900-9
08.2022.00391192-9,-,Ação Civil Pública,Balneário Camboriú,6ª Promotoria de Justiça da Comarca de Balneário Camboriú,-,23/11/2022,-,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2022.00391192-9
08.2021.00247261-0,Dano Ambiental,Ação Civil Pública,Canoinhas,3ª Promotoria de Justiça da Comarca de Canoinhas,-,07/11/2022,C:\Users\arthu\OneDrive\Documentos\UFSC - 7º Semestre\Tópicos Especiais em Gerência de Dados\Check if possible\PDFs/08.2021.00247261-0.pdf,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2021.00247261-0
08.2019.00198375-7,Indenização por Dano Ambiental,Ação Civil Pública,Capital,28ª Promotoria de Justiça da Comarca da Capital,-,19/11/2021,C:\Users\arthu\OneDrive\Documentos\UFSC - 7º Semestre\Tópicos Especiais em Gerência de Dados\Check if possible\PDFs/08.2019.00198375-7.pdf,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2019.00198375-7
08.2021.00261761-0,"Ato Lesivo ao Patrimônio Artístico, Estético, Histórico ou Turístico",Ação Civil Pública,Capital,28ª Promotoria de Justiça da Comarca da Capital,-,22/9/2021,C:\Users\arthu\OneDrive\Documentos\UFSC - 7º Semestre\Tópicos Especiais em Gerência de Dados\Check if possible\PDFs/08.2021.00261761-0.pdf,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2021.00261761-0
08.2021.00066042-6,-,Ação Civil Pública,Capital,32ª Promotoria de Justiça da Comarca da Capital,-,12/8/2022,C:\Users\arthu\OneDrive\Documentos\UFSC - 7º Semestre\Tópicos Especiais em Gerência de Dados\Check if possible\PDFs/08.2021.00066042-6.pdf,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2021.00066042-6
08.2021.00410890-7,Dano Ambiental,Ação Civil Pública,Capital,32ª Promotoria de Justiça da Comarca da Capital,-,18/7/2022,-,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2021.00410890-7
08.2021.00441853-0,-,Ação Civil Pública,Chapecó,9ª Promotoria de Justiça da Comarca de Chapecó,-,24/3/2022,C:\Users\arthu\OneDrive\Documentos\UFSC - 7º Semestre\Tópicos Especiais em Gerência de Dados\Check if possible\PDFs/08.2021.00441853-0.pdf,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2021.00441853-0
08.2022.00024191-2,Flora,Ação Civil Pública,Chapecó,9ª Promotoria de Justiça da Comarca de Chapecó,-,13/5/2022,C:\Users\arthu\OneDrive\Documentos\UFSC - 7º Semestre\Tópicos Especiais em Gerência de Dados\Check if possible\PDFs/08.2022.00024191-2.pdf,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2022.00024191-2
08.2016.00379648-2,Água e/ou Esgoto,Ação Civil Pública,Coronel Freitas,Promotoria de Justiça da Comarca de Coronel Freitas,-,23/11/2022,C:\Users\arthu\OneDrive\Documentos\UFSC - 7º Semestre\Tópicos Especiais em Gerência de Dados\Check if possible\PDFs/08.2016.00379648-2.pdf,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2016.00379648-2
08.2022.00026703-5,-,Ação Civil Pública,Criciúma,7ª Promotoria de Justiça da Comarca de Criciúma,-,17/5/2023,C:\Users\arthu\OneDrive\Documentos\UFSC - 7º Semestre\Tópicos Especiais em Gerência de Dados\Check if possible\PDFs/08.2022.00026703-5.pdf,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2022.00026703-5
08.2019.00332890-8,Dano Ambiental,Ação Civil Pública,Fraiburgo,3ª Promotoria de Justiça da Comarca de Fraiburgo,-,17/6/2022,-,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2019.00332890-8
08.2014.00276911-5,Flora,Ação Civil Pública,Garopaba,1ª Promotoria de Justiça da Comarca de Garopaba,-,15/3/2022,C:\Users\arthu\OneDrive\Documentos\UFSC - 7º Semestre\Tópicos Especiais em Gerência de Dados\Check if possible\PDFs/08.2014.00276911-5.pdf,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2014.00276911-5
